"","V1"
"line10",5
"line100",5
"line1000",3
"line10000",2
"line10001",3
"line10002",4
"line10003",3
"line10004",3
"line10005",4
"line10006",5
"line10007",4
"line10008",2
"line10009",2
"line1001",5
"line10010",3
"line10011",3
"line10012",6
"line10013",3
"line10014",4
"line10015",5
"line10016",1
"line10017",5
"line10018",2
"line10019",3
"line1002",4
"line10020",2
"line10021",3
"line10022",3
"line10023",2
"line10024",5
"line10025",4
"line10026",4
"line10027",2
"line10028",1
"line10029",3
"line1003",2
"line10030",3
"line10031",3
"line10032",5
"line10033",1
"line10034",5
"line10035",1
"line10036",1
"line10037",4
"line10038",2
"line10039",4
"line1004",3
"line10040",3
"line10041",1
"line10042",2
"line10043",2
"line10044",3
"line10045",2
"line10046",2
"line10047",1
"line10048",2
"line10049",5
"line1005",5
"line10050",4
"line10051",6
"line10052",5
"line10053",4
"line10054",4
"line10055",6
"line10056",4
"line10057",5
"line10058",3
"line10059",4
"line1006",2
"line10060",1
"line10061",3
"line10062",2
"line10063",5
"line10064",5
"line10065",1
"line10066",2
"line10067",4
"line10068",1
"line10069",3
"line1007",4
"line10070",4
"line10071",3
"line10072",2
"line10073",3
"line10074",1
"line10075",2
"line10076",2
"line10077",2
"line10078",5
"line10079",3
"line1008",3
"line10080",5
"line10081",4
"line10082",4
"line10083",2
"line10084",5
"line10085",3
"line10086",1
"line10087",2
"line10088",1
"line10089",4
"line1009",3
"line10090",6
"line10091",4
"line10092",3
"line10093",1
"line10094",1
"line10095",5
"line10096",6
"line10097",4
"line10098",1
"line10099",3
"line101",2
"line1010",3
"line10100",5
"line10101",3
"line10102",3
"line10103",2
"line10104",5
"line10105",4
"line10106",2
"line10107",4
"line10108",2
"line10109",6
"line1011",2
"line10110",5
"line10111",5
"line10112",5
"line10113",4
"line10114",3
"line10115",2
"line10116",2
"line10117",3
"line10118",5
"line10119",2
"line1012",1
"line10120",3
"line10121",3
"line10122",2
"line10123",5
"line10124",1
"line10125",6
"line10126",2
"line10127",4
"line10128",2
"line10129",2
"line1013",3
"line10130",3
"line10131",3
"line10132",3
"line10133",3
"line10134",3
"line10135",3
"line10136",5
"line10137",1
"line10138",2
"line10139",4
"line1014",3
"line10140",4
"line10141",5
"line10142",5
"line10143",1
"line10144",3
"line10145",5
"line10146",2
"line10147",4
"line10148",1
"line10149",6
"line1015",2
"line10150",3
"line10151",2
"line10152",2
"line10153",5
"line10154",4
"line10155",3
"line10156",5
"line10157",2
"line10158",1
"line10159",5
"line1016",2
"line10160",1
"line10161",3
"line10162",1
"line10163",6
"line10164",4
"line10165",4
"line10166",3
"line10167",3
"line10168",3
"line10169",4
"line1017",4
"line10170",4
"line10171",1
"line10172",5
"line10173",1
"line10174",5
"line10175",2
"line10176",6
"line10177",3
"line10178",5
"line10179",2
"line1018",3
"line10180",2
"line10181",5
"line10182",6
"line10183",3
"line10184",6
"line10185",6
"line10186",1
"line10187",5
"line10188",6
"line10189",1
"line1019",1
"line10190",2
"line10191",3
"line10192",2
"line10193",3
"line10194",3
"line10195",3
"line10196",1
"line10197",1
"line10198",2
"line10199",2
"line102",3
"line1020",3
"line10200",2
"line10201",2
"line10202",6
"line10203",2
"line10204",6
"line10205",4
"line10206",6
"line10207",1
"line10208",3
"line10209",6
"line1021",6
"line10210",3
"line10211",5
"line10212",1
"line10213",2
"line10214",1
"line10215",2
"line10216",2
"line10217",2
"line10218",4
"line10219",1
"line1022",4
"line10220",2
"line10221",5
"line10222",1
"line10223",3
"line10224",4
"line10225",2
"line10226",5
"line10227",1
"line10228",2
"line10229",2
"line1023",5
"line10230",6
"line10231",4
"line10232",4
"line10233",1
"line10234",3
"line10235",4
"line10236",5
"line10237",4
"line10238",1
"line10239",1
"line1024",3
"line10240",3
"line10241",3
"line10242",4
"line10243",4
"line10244",4
"line10245",5
"line10246",5
"line10247",6
"line10248",3
"line10249",4
"line1025",1
"line10250",1
"line10251",5
"line10252",6
"line10253",2
"line10254",5
"line10255",2
"line10256",5
"line10257",2
"line10258",5
"line10259",4
"line1026",3
"line10260",3
"line10261",6
"line10262",5
"line10263",5
"line10264",5
"line10265",5
"line10266",2
"line10267",1
"line10268",3
"line10269",6
"line1027",6
"line10270",4
"line10271",6
"line10272",4
"line10273",1
"line10274",3
"line10275",1
"line10276",2
"line10277",2
"line10278",6
"line10279",2
"line1028",2
"line10280",2
"line10281",2
"line10282",5
"line10283",2
"line10284",1
"line10285",4
"line10286",5
"line10287",1
"line10288",3
"line10289",5
"line1029",4
"line10290",2
"line10291",3
"line10292",5
"line10293",1
"line10294",1
"line10295",5
"line10296",3
"line10297",2
"line10298",3
"line10299",2
"line103",5
"line1030",1
"line10300",6
"line10301",1
"line10302",1
"line10303",2
"line10304",4
"line10305",3
"line10306",2
"line10307",3
"line10308",1
"line10309",4
"line1031",5
"line10310",2
"line10311",2
"line10312",6
"line10313",2
"line10314",2
"line10315",2
"line10316",3
"line10317",2
"line10318",3
"line10319",3
"line1032",3
"line10320",3
"line10321",4
"line10322",1
"line10323",3
"line10324",2
"line10325",1
"line10326",1
"line10327",3
"line10328",1
"line10329",4
"line1033",5
"line10330",2
"line10331",4
"line10332",3
"line10333",2
"line10334",1
"line10335",6
"line10336",3
"line10337",3
"line10338",6
"line10339",2
"line1034",2
"line10340",6
"line10341",2
"line10342",1
"line10343",2
"line10344",6
"line10345",4
"line10346",1
"line10347",2
"line10348",2
"line10349",2
"line1035",2
"line10350",5
"line10351",4
"line10352",2
"line10353",1
"line10354",2
"line10355",6
"line10356",4
"line10357",2
"line10358",5
"line10359",2
"line1036",1
"line10360",4
"line10361",3
"line10362",1
"line10363",1
"line10364",1
"line10365",3
"line10366",1
"line10367",3
"line10368",1
"line10369",3
"line1037",2
"line10370",2
"line10371",6
"line10372",1
"line10373",2
"line10374",4
"line10375",4
"line10376",2
"line10377",3
"line10378",3
"line10379",6
"line1038",1
"line10380",1
"line10381",4
"line10382",1
"line10383",1
"line10384",2
"line10385",4
"line10386",3
"line10387",4
"line10388",6
"line10389",4
"line1039",3
"line10390",2
"line10391",2
"line10392",2
"line10393",2
"line10394",2
"line10395",2
"line10396",5
"line10397",2
"line10398",1
"line10399",1
"line104",1
"line1040",6
"line10400",5
"line10401",1
"line10402",3
"line10403",1
"line10404",5
"line10405",2
"line10406",2
"line10407",5
"line10408",1
"line10409",6
"line1041",3
"line10410",3
"line10411",2
"line10412",3
"line10413",1
"line10414",4
"line10415",3
"line10416",3
"line10417",2
"line10418",4
"line10419",4
"line1042",4
"line10420",2
"line10421",6
"line10422",4
"line10423",3
"line10424",1
"line10425",5
"line10426",4
"line10427",2
"line10428",1
"line10429",1
"line1043",3
"line10430",5
"line10431",4
"line10432",4
"line10433",3
"line10434",1
"line10435",1
"line10436",4
"line10437",1
"line10438",4
"line10439",1
"line1044",4
"line10440",1
"line10441",1
"line10442",6
"line10443",5
"line10444",2
"line10445",3
"line10446",2
"line10447",6
"line10448",2
"line10449",5
"line1045",5
"line10450",1
"line10451",2
"line10452",1
"line10453",2
"line10454",4
"line10455",1
"line10456",2
"line10457",3
"line10458",2
"line10459",5
"line1046",1
"line10460",1
"line10461",2
"line10462",5
"line10463",4
"line10464",3
"line10465",4
"line10466",6
"line10467",3
"line10468",5
"line10469",4
"line1047",2
"line10470",6
"line10471",5
"line10472",4
"line10473",1
"line10474",3
"line10475",4
"line10476",1
"line10477",3
"line10478",1
"line10479",6
"line1048",2
"line10480",3
"line10481",6
"line10482",3
"line10483",4
"line10484",5
"line10485",3
"line10486",5
"line10487",1
"line10488",6
"line10489",4
"line1049",4
"line10490",3
"line10491",1
"line10492",2
"line10493",1
"line10494",4
"line10495",3
"line10496",2
"line10497",3
"line10498",4
"line10499",4
"line105",2
"line1050",5
"line10500",1
"line10501",3
"line10502",3
"line10503",6
"line10504",3
"line10505",1
"line10506",5
"line10507",4
"line10508",5
"line10509",2
"line1051",1
"line10510",5
"line10511",5
"line10512",4
"line10513",3
"line10514",5
"line10515",1
"line10516",1
"line10517",1
"line10518",4
"line10519",2
"line1052",3
"line10520",1
"line10521",2
"line10522",2
"line10523",3
"line10524",3
"line10525",5
"line10526",4
"line10527",3
"line10528",3
"line10529",6
"line1053",3
"line10530",2
"line10531",3
"line10532",6
"line10533",5
"line10534",6
"line10535",2
"line10536",4
"line10537",6
"line10538",3
"line10539",5
"line1054",2
"line10540",1
"line10541",3
"line10542",2
"line10543",1
"line10544",3
"line10545",4
"line10546",2
"line10547",1
"line10548",5
"line10549",2
"line1055",5
"line10550",5
"line10551",3
"line10552",2
"line10553",1
"line10554",4
"line10555",3
"line10556",4
"line10557",1
"line10558",5
"line10559",6
"line1056",3
"line10560",5
"line10561",4
"line10562",5
"line10563",6
"line10564",2
"line10565",1
"line10566",5
"line10567",2
"line10568",2
"line10569",1
"line1057",3
"line10570",1
"line10571",5
"line10572",3
"line10573",2
"line10574",5
"line10575",4
"line10576",4
"line10577",4
"line10578",3
"line10579",1
"line1058",3
"line10580",4
"line10581",5
"line10582",3
"line10583",2
"line10584",5
"line10585",4
"line10586",2
"line10587",4
"line10588",4
"line10589",2
"line1059",1
"line10590",1
"line10591",5
"line10592",1
"line10593",5
"line10594",2
"line10595",2
"line10596",2
"line10597",4
"line10598",5
"line10599",1
"line106",2
"line1060",4
"line10600",3
"line10601",1
"line10602",3
"line10603",3
"line10604",1
"line10605",3
"line10606",4
"line10607",2
"line10608",2
"line10609",1
"line1061",1
"line10610",4
"line10611",1
"line10612",5
"line10613",1
"line10614",5
"line10615",4
"line10616",5
"line10617",3
"line10618",5
"line10619",2
"line1062",2
"line10620",3
"line10621",1
"line10622",5
"line10623",3
"line10624",4
"line10625",4
"line10626",1
"line10627",6
"line10628",3
