"","Topic 1","Topic 2","Topic 3","Topic 4"
"1","life","school","shit","cold"
"2","time","heart","fuck","day"
"3","job","coffee","fucking","today"
"4","years","rest","hate","hours"
"5","mental","new","people","late"
