"","V1"
"line10",4
"line100",4
"line1000",2
"line10000",1
"line10001",3
"line10002",1
"line10003",3
"line10004",2
"line10005",2
"line10006",4
"line10007",1
"line10008",1
"line10009",1
"line1001",2
"line10010",4
"line10011",3
"line10012",2
"line10013",3
"line10014",4
"line10015",4
"line10016",1
"line10017",1
"line10018",1
"line10019",3
"line1002",4
"line10020",3
"line10021",3
"line10022",3
"line10023",2
"line10024",3
"line10025",4
"line10026",4
"line10027",3
"line10028",1
"line10029",3
"line1003",3
"line10030",3
"line10031",3
"line10032",3
"line10033",2
"line10034",4
"line10035",1
"line10036",1
"line10037",4
"line10038",1
"line10039",2
"line1004",3
"line10040",3
"line10041",1
"line10042",2
"line10043",3
"line10044",3
"line10045",1
"line10046",1
"line10047",2
"line10048",4
"line10049",4
"line1005",2
"line10050",4
"line10051",1
"line10052",4
"line10053",3
"line10054",4
"line10055",2
"line10056",1
"line10057",2
"line10058",2
"line10059",4
"line1006",1
"line10060",1
"line10061",3
"line10062",2
"line10063",4
"line10064",2
"line10065",1
"line10066",1
"line10067",4
"line10068",2
"line10069",1
"line1007",4
"line10070",2
"line10071",3
"line10072",2
"line10073",2
"line10074",2
"line10075",2
"line10076",1
"line10077",3
"line10078",1
"line10079",4
"line1008",3
"line10080",1
"line10081",4
"line10082",2
"line10083",1
"line10084",4
"line10085",4
"line10086",4
"line10087",2
"line10088",3
"line10089",2
"line1009",1
"line10090",2
"line10091",4
"line10092",2
"line10093",3
"line10094",3
"line10095",2
"line10096",2
"line10097",3
"line10098",1
"line10099",3
"line101",1
"line1010",2
"line10100",4
"line10101",3
"line10102",1
"line10103",1
"line10104",4
"line10105",1
"line10106",1
"line10107",1
"line10108",3
"line10109",1
"line1011",2
"line10110",4
"line10111",2
"line10112",4
"line10113",3
"line10114",3
"line10115",2
"line10116",3
"line10117",1
"line10118",3
"line10119",1
"line1012",2
"line10120",1
"line10121",3
"line10122",2
"line10123",4
"line10124",1
"line10125",1
"line10126",3
"line10127",3
"line10128",1
"line10129",3
"line1013",3
"line10130",3
"line10131",3
"line10132",1
"line10133",2
"line10134",3
"line10135",1
"line10136",4
"line10137",2
"line10138",4
"line10139",1
"line1014",2
"line10140",1
"line10141",4
"line10142",4
"line10143",1
"line10144",3
"line10145",2
"line10146",1
"line10147",1
"line10148",4
"line10149",3
"line1015",1
"line10150",2
"line10151",3
"line10152",1
"line10153",4
"line10154",2
"line10155",2
"line10156",4
"line10157",1
"line10158",1
"line10159",2
"line1016",1
"line10160",1
"line10161",1
"line10162",1
"line10163",2
"line10164",1
"line10165",3
"line10166",3
"line10167",3
"line10168",3
"line10169",1
"line1017",4
"line10170",4
"line10171",3
"line10172",1
"line10173",2
"line10174",4
"line10175",3
"line10176",3
"line10177",1
"line10178",4
"line10179",3
"line1018",3
"line10180",4
"line10181",4
"line10182",1
"line10183",3
"line10184",2
"line10185",2
"line10186",1
"line10187",2
"line10188",3
"line10189",1
"line1019",1
"line10190",4
"line10191",1
"line10192",1
"line10193",3
"line10194",3
"line10195",3
"line10196",2
"line10197",2
"line10198",1
"line10199",3
"line102",3
"line1020",2
"line10200",3
"line10201",3
"line10202",2
"line10203",3
"line10204",4
"line10205",4
"line10206",1
"line10207",1
"line10208",3
"line10209",3
"line1021",3
"line10210",2
"line10211",2
"line10212",1
"line10213",3
"line10214",1
"line10215",1
"line10216",3
"line10217",4
"line10218",3
"line10219",1
"line1022",4
"line10220",3
"line10221",2
"line10222",1
"line10223",3
"line10224",4
"line10225",3
"line10226",4
"line10227",4
"line10228",2
"line10229",3
"line1023",3
"line10230",3
"line10231",4
"line10232",4
"line10233",1
"line10234",3
"line10235",1
"line10236",1
"line10237",4
"line10238",1
"line10239",3
"line1024",3
"line10240",4
"line10241",3
"line10242",2
"line10243",3
"line10244",3
"line10245",4
"line10246",4
"line10247",2
"line10248",2
"line10249",3
"line1025",1
"line10250",3
"line10251",2
"line10252",3
"line10253",3
"line10254",4
"line10255",3
"line10256",2
"line10257",2
"line10258",4
"line10259",4
"line1026",3
"line10260",3
"line10261",2
"line10262",4
"line10263",4
"line10264",1
"line10265",4
"line10266",1
"line10267",1
"line10268",3
"line10269",1
"line1027",3
"line10270",2
"line10271",2
"line10272",2
"line10273",4
"line10274",3
"line10275",1
"line10276",2
"line10277",2
"line10278",2
"line10279",4
"line1028",3
"line10280",3
"line10281",2
"line10282",3
"line10283",3
"line10284",2
"line10285",1
"line10286",4
"line10287",1
"line10288",3
"line10289",4
"line1029",4
"line10290",4
"line10291",3
"line10292",3
"line10293",1
"line10294",1
"line10295",4
"line10296",3
"line10297",1
"line10298",3
"line10299",2
"line103",1
"line1030",3
"line10300",4
"line10301",3
"line10302",3
"line10303",3
"line10304",4
"line10305",2
"line10306",3
"line10307",2
"line10308",2
"line10309",4
"line1031",4
"line10310",1
"line10311",2
"line10312",2
"line10313",1
"line10314",1
"line10315",1
"line10316",3
"line10317",1
"line10318",2
"line10319",1
"line1032",3
"line10320",4
"line10321",1
"line10322",1
"line10323",3
"line10324",1
"line10325",1
"line10326",2
"line10327",4
"line10328",3
"line10329",4
"line1033",2
"line10330",1
"line10331",1
"line10332",2
"line10333",3
"line10334",1
"line10335",2
"line10336",3
"line10337",2
"line10338",2
"line10339",1
"line1034",3
"line10340",2
"line10341",2
"line10342",1
"line10343",1
"line10344",2
"line10345",1
"line10346",2
"line10347",3
"line10348",3
"line10349",1
"line1035",3
"line10350",4
"line10351",3
"line10352",1
"line10353",3
"line10354",3
"line10355",2
"line10356",1
"line10357",2
"line10358",4
"line10359",2
"line1036",1
"line10360",4
"line10361",3
"line10362",3
"line10363",1
"line10364",2
"line10365",3
"line10366",2
"line10367",3
"line10368",3
"line10369",4
"line1037",1
"line10370",1
"line10371",1
"line10372",3
"line10373",1
"line10374",4
"line10375",3
"line10376",1
"line10377",3
"line10378",1
"line10379",4
"line1038",1
"line10380",1
"line10381",4
"line10382",2
"line10383",1
"line10384",4
"line10385",4
"line10386",4
"line10387",2
"line10388",1
"line10389",4
"line1039",3
"line10390",3
"line10391",4
"line10392",2
"line10393",3
"line10394",3
"line10395",2
"line10396",2
"line10397",1
"line10398",1
"line10399",4
"line104",1
"line1040",2
"line10400",2
"line10401",2
"line10402",3
"line10403",1
"line10404",4
"line10405",1
"line10406",1
"line10407",2
"line10408",3
"line10409",2
"line1041",4
"line10410",3
"line10411",1
"line10412",3
"line10413",2
"line10414",1
"line10415",1
"line10416",4
"line10417",3
"line10418",2
"line10419",1
"line1042",1
"line10420",4
"line10421",4
"line10422",4
"line10423",1
"line10424",2
"line10425",2
"line10426",1
"line10427",1
"line10428",4
"line10429",4
"line1043",4
"line10430",4
"line10431",1
"line10432",2
"line10433",3
"line10434",3
"line10435",1
"line10436",4
"line10437",2
"line10438",4
"line10439",1
"line1044",4
"line10440",3
"line10441",2
"line10442",1
"line10443",2
"line10444",3
"line10445",3
"line10446",3
"line10447",2
"line10448",3
"line10449",4
"line1045",1
"line10450",3
"line10451",1
"line10452",1
"line10453",2
"line10454",4
"line10455",3
"line10456",2
"line10457",3
"line10458",3
"line10459",4
"line1046",3
"line10460",1
"line10461",2
"line10462",4
"line10463",1
"line10464",1
