"","V1","V2","V3","V4"
"1",0.241666666666667,0.241666666666667,0.208333333333333,0.308333333333333
"2",0.245762711864407,0.245762711864407,0.228813559322034,0.279661016949153
"3",0.208333333333333,0.308333333333333,0.275,0.208333333333333
"4",0.30327868852459,0.221311475409836,0.254098360655738,0.221311475409836
"5",0.241666666666667,0.208333333333333,0.308333333333333,0.241666666666667
"6",0.254385964912281,0.236842105263158,0.254385964912281,0.254385964912281
"7",0.232758620689655,0.21551724137931,0.28448275862069,0.267241379310345
"8",0.235849056603774,0.273584905660377,0.254716981132075,0.235849056603774
"9",0.245762711864407,0.26271186440678,0.245762711864407,0.245762711864407
"10",0.2265625,0.2265625,0.2421875,0.3046875
"11",0.294642857142857,0.223214285714286,0.223214285714286,0.258928571428571
"12",0.267241379310345,0.232758620689655,0.232758620689655,0.267241379310345
"13",0.271929824561404,0.236842105263158,0.236842105263158,0.254385964912281
"14",0.223214285714286,0.294642857142857,0.241071428571429,0.241071428571429
"15",0.241071428571429,0.241071428571429,0.223214285714286,0.294642857142857
"16",0.232758620689655,0.232758620689655,0.28448275862069,0.25
"17",0.228813559322034,0.26271186440678,0.26271186440678,0.245762711864407
"18",0.225,0.275,0.291666666666667,0.208333333333333
"19",0.236842105263158,0.219298245614035,0.219298245614035,0.324561403508772
"20",0.201612903225806,0.25,0.201612903225806,0.346774193548387
"21",0.301724137931034,0.21551724137931,0.25,0.232758620689655
"22",0.267241379310345,0.232758620689655,0.232758620689655,0.267241379310345
"23",0.276785714285714,0.223214285714286,0.241071428571429,0.258928571428571
"24",0.254385964912281,0.236842105263158,0.271929824561404,0.236842105263158
"25",0.237704918032787,0.221311475409836,0.221311475409836,0.319672131147541
"26",0.231481481481481,0.231481481481481,0.305555555555556,0.231481481481481
"27",0.225,0.225,0.275,0.275
"28",0.245454545454545,0.227272727272727,0.281818181818182,0.245454545454545
"29",0.223214285714286,0.276785714285714,0.258928571428571,0.241071428571429
"30",0.228813559322034,0.245762711864407,0.26271186440678,0.26271186440678
"31",0.245762711864407,0.228813559322034,0.228813559322034,0.296610169491525
"32",0.240384615384615,0.240384615384615,0.240384615384615,0.278846153846154
"33",0.2109375,0.2421875,0.3203125,0.2265625
"34",0.282258064516129,0.266129032258065,0.233870967741935,0.217741935483871
"35",0.211864406779661,0.228813559322034,0.313559322033898,0.245762711864407
"36",0.275,0.208333333333333,0.308333333333333,0.208333333333333
"37",0.231481481481481,0.25,0.287037037037037,0.231481481481481
"38",0.231481481481481,0.25,0.287037037037037,0.231481481481481
"39",0.211864406779661,0.228813559322034,0.279661016949153,0.279661016949153
"40",0.232758620689655,0.28448275862069,0.232758620689655,0.25
"41",0.2421875,0.2421875,0.2109375,0.3046875
"42",0.341666666666667,0.225,0.208333333333333,0.225
"43",0.271929824561404,0.254385964912281,0.236842105263158,0.236842105263158
"44",0.2421875,0.2265625,0.2265625,0.3046875
"45",0.267241379310345,0.232758620689655,0.267241379310345,0.232758620689655
"46",0.236842105263158,0.271929824561404,0.236842105263158,0.254385964912281
"47",0.223214285714286,0.241071428571429,0.294642857142857,0.241071428571429
"48",0.277777777777778,0.214285714285714,0.30952380952381,0.198412698412698
"49",0.305555555555556,0.231481481481481,0.231481481481481,0.231481481481481
"50",0.25,0.267241379310345,0.21551724137931,0.267241379310345
"51",0.254098360655738,0.254098360655738,0.270491803278689,0.221311475409836
"52",0.223214285714286,0.241071428571429,0.276785714285714,0.258928571428571
"53",0.308333333333333,0.225,0.241666666666667,0.225
"54",0.25,0.25,0.25,0.25
"55",0.245762711864407,0.26271186440678,0.228813559322034,0.26271186440678
"56",0.261904761904762,0.261904761904762,0.198412698412698,0.277777777777778
"57",0.2109375,0.2109375,0.2578125,0.3203125
"58",0.254385964912281,0.271929824561404,0.219298245614035,0.254385964912281
"59",0.254716981132075,0.235849056603774,0.235849056603774,0.273584905660377
"60",0.254716981132075,0.235849056603774,0.254716981132075,0.254716981132075
"61",0.231481481481481,0.231481481481481,0.231481481481481,0.305555555555556
"62",0.25,0.217741935483871,0.282258064516129,0.25
"63",0.237704918032787,0.254098360655738,0.237704918032787,0.270491803278689
"64",0.258333333333333,0.275,0.225,0.241666666666667
"65",0.30327868852459,0.204918032786885,0.237704918032787,0.254098360655738
"66",0.228813559322034,0.296610169491525,0.211864406779661,0.26271186440678
"67",0.227272727272727,0.263636363636364,0.263636363636364,0.245454545454545
"68",0.211864406779661,0.245762711864407,0.228813559322034,0.313559322033898
"69",0.258928571428571,0.241071428571429,0.258928571428571,0.241071428571429
"70",0.301724137931034,0.267241379310345,0.21551724137931,0.21551724137931
"71",0.235849056603774,0.235849056603774,0.273584905660377,0.254716981132075
"72",0.240384615384615,0.259615384615385,0.259615384615385,0.240384615384615
"73",0.240384615384615,0.240384615384615,0.240384615384615,0.278846153846154
"74",0.223214285714286,0.294642857142857,0.223214285714286,0.258928571428571
"75",0.324561403508772,0.236842105263158,0.219298245614035,0.219298245614035
"76",0.254716981132075,0.254716981132075,0.254716981132075,0.235849056603774
"77",0.237704918032787,0.237704918032787,0.221311475409836,0.30327868852459
"78",0.236842105263158,0.271929824561404,0.271929824561404,0.219298245614035
"79",0.275,0.258333333333333,0.258333333333333,0.208333333333333
"80",0.258928571428571,0.223214285714286,0.223214285714286,0.294642857142857
"81",0.235849056603774,0.254716981132075,0.254716981132075,0.254716981132075
"82",0.208333333333333,0.241666666666667,0.341666666666667,0.208333333333333
"83",0.245454545454545,0.281818181818182,0.245454545454545,0.227272727272727
