"","V1"
"line10",3
"line100",3
"line1000",4
"line10000",1
"line10001",3
"line10002",3
"line10003",3
"line10004",4
"line10005",2
"line10006",3
"line10007",3
"line10008",2
"line10009",3
"line1001",3
"line10010",1
"line10011",4
"line10012",5
"line10013",4
"line10014",3
"line10015",3
"line10016",1
"line10017",2
"line10018",1
"line10019",1
"line1002",3
"line10020",2
"line10021",4
"line10022",1
"line10023",2
"line10024",3
"line10025",3
"line10026",3
"line10027",3
"line10028",1
"line10029",4
"line1003",2
"line10030",4
"line10031",4
"line10032",3
"line10033",3
"line10034",3
"line10035",2
"line10036",1
"line10037",3
"line10038",4
"line10039",4
"line1004",3
"line10040",1
"line10041",2
"line10042",1
"line10043",2
"line10044",2
"line10045",1
"line10046",1
"line10047",5
"line10048",1
"line10049",3
"line1005",2
"line10050",3
"line10051",4
"line10052",3
"line10053",1
"line10054",3
"line10055",5
"line10056",4
"line10057",2
"line10058",4
"line10059",3
"line1006",2
"line10060",1
"line10061",4
"line10062",2
"line10063",3
"line10064",2
"line10065",5
"line10066",1
"line10067",3
"line10068",1
"line10069",4
"line1007",3
"line10070",4
"line10071",4
"line10072",2
"line10073",2
"line10074",1
"line10075",2
"line10076",2
"line10077",4
"line10078",2
"line10079",3
"line1008",4
"line10080",2
"line10081",1
"line10082",1
"line10083",2
"line10084",3
"line10085",3
"line10086",1
"line10087",3
"line10088",1
"line10089",3
"line1009",1
"line10090",5
"line10091",3
"line10092",4
"line10093",1
"line10094",2
"line10095",3
"line10096",5
"line10097",2
"line10098",2
"line10099",4
"line101",1
"line1010",4
"line10100",3
"line10101",4
"line10102",2
"line10103",1
"line10104",3
"line10105",1
"line10106",1
"line10107",4
"line10108",1
"line10109",5
"line1011",2
"line10110",3
"line10111",5
"line10112",3
"line10113",4
"line10114",4
"line10115",4
"line10116",3
"line10117",1
"line10118",2
"line10119",1
"line1012",4
"line10120",2
"line10121",4
"line10122",2
"line10123",3
"line10124",1
"line10125",5
"line10126",3
"line10127",3
"line10128",1
"line10129",2
"line1013",4
"line10130",4
"line10131",3
"line10132",3
"line10133",2
"line10134",4
"line10135",2
"line10136",3
"line10137",2
"line10138",1
"line10139",2
"line1014",4
"line10140",5
"line10141",3
"line10142",3
"line10143",1
"line10144",2
"line10145",4
"line10146",1
"line10147",1
"line10148",1
"line10149",5
"line1015",5
"line10150",4
"line10151",1
"line10152",1
"line10153",5
"line10154",2
"line10155",4
"line10156",3
"line10157",1
"line10158",1
"line10159",3
"line1016",2
"line10160",1
"line10161",5
"line10162",2
"line10163",5
"line10164",1
"line10165",3
"line10166",4
"line10167",3
"line10168",4
"line10169",1
"line1017",3
"line10170",3
"line10171",4
"line10172",3
"line10173",5
"line10174",2
"line10175",1
"line10176",5
"line10177",4
"line10178",1
"line10179",5
"line1018",4
"line10180",4
"line10181",3
"line10182",4
"line10183",4
"line10184",5
"line10185",5
"line10186",1
"line10187",3
"line10188",4
"line10189",1
"line1019",2
"line10190",4
"line10191",4
"line10192",1
"line10193",4
"line10194",4
"line10195",5
"line10196",4
"line10197",1
"line10198",1
"line10199",3
"line102",4
"line1020",5
"line10200",1
"line10201",2
"line10202",1
"line10203",3
"line10204",5
"line10205",3
"line10206",5
"line10207",2
"line10208",4
"line10209",5
"line1021",5
"line10210",4
"line10211",1
"line10212",1
"line10213",1
"line10214",1
"line10215",4
"line10216",2
"line10217",1
"line10218",3
"line10219",2
"line1022",3
"line10220",1
"line10221",1
"line10222",1
"line10223",4
"line10224",5
"line10225",4
"line10226",3
"line10227",1
"line10228",2
"line10229",2
"line1023",3
"line10230",5
"line10231",3
"line10232",3
"line10233",1
"line10234",1
"line10235",1
"line10236",3
