"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","job","late","cold","life","time","shit","school"
"2","mental","years","day","heart","hours","fuck","new"
"3","health","ago","today","love","bed","fucking","high"
"4","ever","game","coffee","never","sick","hate","year"
"5","care","pressure","good","rest","emojifacewithtearsofjoy","people","kids"
